epoch,accuracy,loss
0,0.8739988207817078,0.03237984701991081
1,1.0,0.018916096538305283
2,1.0,0.017845893278717995
3,1.0,0.017432522028684616
4,1.0,0.017236806452274323
5,1.0,0.01712796650826931
6,1.0,0.017055777832865715
7,1.0,0.0170013178139925
8,1.0,0.016967754811048508
9,1.0,0.01694333553314209
10,1.0,0.016911303624510765
11,1.0,0.016886651515960693
12,1.0,0.016871187835931778
13,1.0,0.016870981082320213
14,1.0,0.01685127057135105
15,1.0,0.01684359461069107
16,1.0,0.016838518902659416
17,1.0,0.016821645200252533
18,1.0,0.016817741096019745
19,1.0,0.01681637391448021
20,1.0,0.016816521063447
21,1.0,0.01680546998977661
22,1.0,0.016808059066534042
23,1.0,0.016801949590444565
24,1.0,0.016798196360468864
25,1.0,0.016796071082353592
26,1.0,0.016786357387900352
27,1.0,0.016787707805633545
28,1.0,0.016784248873591423
29,1.0,0.016792461276054382
30,1.0,0.01677927002310753
31,1.0,0.016781402751803398
32,1.0,0.016772525385022163
33,1.0,0.01678185723721981
34,1.0,0.016773762181401253
35,1.0,0.01676601730287075
36,1.0,0.016767367720603943
37,1.0,0.016760922968387604
38,1.0,0.016762755811214447
39,1.0,0.016764989122748375
40,1.0,0.01676183193922043
41,1.0,0.016756117343902588
42,1.0,0.016761675477027893
43,1.0,0.016764860600233078
44,1.0,0.016763783991336823
45,1.0,0.016755932942032814
46,1.0,0.016758223995566368
47,1.0,0.016753152012825012
48,1.0,0.01675538346171379
49,1.0,0.016754979267716408
