epoch,accuracy,loss
0,0.9887328743934631,0.004048769362270832
1,0.9998959898948669,0.003398680593818426
2,0.9998266696929932,0.0033710752613842487
3,0.9998959898948669,0.0033696030732244253
4,0.9998959898948669,0.003328613005578518
5,0.9999653100967407,0.003332884283736348
6,0.9998959898948669,0.0033057192340493202
7,1.0,0.0032939768861979246
8,1.0,0.003273120615631342
9,0.9999653100967407,0.003283466212451458
10,1.0,0.0032702265307307243
11,1.0,0.003271569265052676
12,0.9998266696929932,0.0032626588363200426
13,1.0,0.0032542727421969175
14,0.9999653100967407,0.003249782370403409
15,1.0,0.0032547416631132364
16,1.0,0.0032402912620455027
17,0.9999653100967407,0.0032458193600177765
18,1.0,0.0032178149558603764
19,1.0,0.0032301684841513634
20,1.0,0.0032175544183701277
21,1.0,0.003212656592950225
22,1.0,0.0032106060534715652
23,1.0,0.003195777302607894
24,1.0,0.0031963158398866653
25,1.0,0.003204742446541786
26,1.0,0.0031815406400710344
27,1.0,0.0031974357552826405
28,1.0,0.0031948748510330915
29,1.0,0.0031852361280471087
30,1.0,0.003168089548125863
31,1.0,0.0031810489017516375
32,1.0,0.0031714581418782473
33,1.0,0.003175655845552683
34,1.0,0.0031660913955420256
35,1.0,0.003167861606925726
36,1.0,0.0031543930526822805
37,1.0,0.0031728646717965603
38,1.0,0.0031605330295860767
39,1.0,0.003144207876175642
40,1.0,0.00315658375620842
41,1.0,0.003133133053779602
42,1.0,0.003154185600578785
43,0.9999653100967407,0.003134704427793622
44,1.0,0.00313728884793818
45,1.0,0.00313434936106205
46,1.0,0.003152469638735056
47,1.0,0.003134142141789198
48,1.0,0.003125416114926338
49,1.0,0.003120665904134512
