epoch,accuracy,loss
0,0.7074016332626343,0.02131839655339718
1,0.7085456848144531,0.021013574674725533
2,0.7086150050163269,0.02100341022014618
3,0.7093430161476135,0.02097131311893463
4,0.7048361897468567,0.020951522514224052
5,0.7079563140869141,0.02093491703271866
6,0.7080603241920471,0.020935848355293274
7,0.7084069848060608,0.02092122845351696
8,0.7041774988174438,0.020924530923366547
9,0.7036228179931641,0.020913854241371155
10,0.7036575078964233,0.02091597393155098
11,0.7041774988174438,0.020893985405564308
12,0.7054255604743958,0.020908977836370468
13,0.7054255604743958,0.02088886871933937
14,0.7027907967567444,0.020892992615699768
15,0.7026174664497375,0.020882613956928253
16,0.7043161988258362,0.020886514335870743
17,0.7033454775810242,0.020874882116913795
18,0.7036575078964233,0.020880213007330894
19,0.7018893957138062,0.020871257409453392
20,0.70168137550354,0.020869314670562744
21,0.7020974159240723,0.02085893228650093
22,0.7032067775726318,0.020860787481069565
23,0.7031721472740173,0.02085772156715393
24,0.6999826431274414,0.02085091546177864
25,0.7019587159156799,0.02084255963563919
26,0.702062726020813,0.020841315388679504
27,0.7008840441703796,0.020837683230638504
28,0.7009880542755127,0.02083481475710869
29,0.6973825693130493,0.020840609446167946
30,0.699081301689148,0.020831480622291565
31,0.6986652612686157,0.020822416990995407
32,0.6963078379631042,0.020832445472478867
33,0.6976945996284485,0.019051099196076393
34,0.6992199420928955,0.01671244390308857
35,0.6989772915840149,0.016707932576537132
36,0.6985266208648682,0.016707036644220352
37,0.6960998177528381,0.01668637990951538
38,0.6973825693130493,0.016683906316757202
39,0.6922863721847534,0.016688480973243713
40,0.6949558258056641,0.016675623133778572
41,0.6960651874542236,0.016681428998708725
42,0.695233166217804,0.016674019396305084
43,0.6945050954818726,0.01666964590549469
44,0.6952677965164185,0.016665317118167877
45,0.6940544247627258,0.01665988750755787
46,0.694747805595398,0.01666928455233574
47,0.6919743418693542,0.01665387488901615
48,0.6945744752883911,0.01665160059928894
49,0.6941237449645996,0.016633963212370872
